artist,title,sales_price,sold_dummy,low_estimate,high_estimate,signiture,height,width,created,medium,auction_lot,auction_date,auction_location
Teh-Chun Chu,NO. 325,553390,1,230580,358680,Signed and Dated,80,80,NA,Oil / Canvas,751,2018/4/1,0
Teh-Chun Chu,LE 7 JUIN 1979,288230,1,230580,333060,Signed and Dated,65,50,1979,Oil / Canvas,752,2018/4/1,0
Teh-Chun Chu,FORCES VERTICALES,476530,1,384300,512400,Signed and Dated,92,73.5,1996,Oil / Canvas,753,2018/4/1,0
Teh-Chun Chu,4.4.1979,NA,0,563640,666120,Signed and Dated,63,79.5,1979,Oil / Canvas,754,2018/4/1,0
Wou-Ki Zao,12.12.67,783970,1,614880,871080,Signed and Dated,73,60,1967,Oil / Canvas,755,2018/4/1,0
Yen-Yung Ting,FISH AND GOAT,120090,1,64050,102480,Signed and Dated,50.6,45.4,1968,Oil / Masonite,756,2018/4/1,0
Liang Guan,STILL LIFE,NA,0,38430,76860,Signed,19.3,25.5,c. 1960's,Oil / Paper,762,2018/4/1,0
Pang Jiun,SUNFLOWERS FROM THE FIELD,224180,1,115290,192150,Signed and Dated,170,170,2004,Oil / Canvas,763,2018/4/1,0
Yifei Chen,SUZHOU LANDSCAPE,NA,0,384300,512400,Signed,100,120,c. 1990's,Oil / Canvas,764,2018/4/1,0
Bon Yee,FIELDS BY THE BANKS OF PEONY RIVER,NA,0,64050,89670,Signed,54.3,79,1963,Oil / Paper on board,767,2018/4/1,0
Leonard Tsuguharu Foujita,PERSONNAGE CUBISANT HOMME,80060,1,64050,89670,NA,55.8,46.2,c. 1914,Oil / Canvas,770,2018/4/1,0
Leonard Tsuguharu Foujita,FILLETTE BLONDE,288230,1,192150,320250,Signed and Dated,27,22,1947,Oil / Canvas,771,2018/4/1,0
Leonard Tsuguharu Foujita,FILLE,NA,0,128100,230580,Signed and Dated,33.5,24.5,1925,Oil / Canvas,772,2018/4/1,0
Jangeng Wang,SENZA TITOLO,3202,1,640,1281,Signed and Dated,24,61,1964,Oil / Canvas,793,2018/4/1,0
Jangeng Wang,SENZA TITOLO,3202,1,640,1281,Signed and Dated,38.5,55.5,1964,Oil / Canvas,794,2018/4/1,0
Hon Hee,WAIKIKI HOLIDAY,NA,0,23060,35870,NA,198,170,1967,Oil / Masonite,798,2018/4/1,0
David Ject-Key,HARBOUR,3202,1,5120,10250,Signed and Dated,35.5,71.5,1956,Oil / Canvas,803,2018/4/1,0
George Chann,RIVERFRONT SUNSET,NA,0,2562,5120,Signed,50.8,60.9,NA,Oil / Canvas,805,2018/4/1,0
Wei Letang,RED ABSTRACTION,NA,0,2562,5120,Signed and Dated,45.7,60.3,1964,Oil / Paper,806,2018/4/1,0
Walasse Ting,WOMEN WITH PARROTS AND FLOWERS,9610,1,4483,7050,Artist's Seal,39.5,40,NA,Acrylic / Paper,201,2018/4/1,0
Walasse Ting,WOMAN WITH FAN,6410,1,3843,6410,Artist's Seal,42,29.5,NA,Acrylic / Paper,202,2018/4/1,0
Walasse Ting,WOMAN WITH FLOWERS,9610,1,5120,7690,Artist's Seal,54,48,NA,Acrylic / Paper,203,2018/4/1,0
Walasse Ting,EIGHT FLOWERS IN A VASE,12010,1,3843,6410,Artist's Seal,64.5,60,NA,Acrylic / Paper,204,2018/4/1,0
Brian Uhing,UNTITLED,32030,1,10250,19220,Signed and Dated,44,34.5,1998,Oil / Canvas,205,2018/4/1,0
Andres Barrioquinto,MODERN LOVE,32030,1,25620,38430,Signed and Dated,213,213,2014,Oil / Canvas,207,2018/4/1,0
Boo Sze Yang,A PLACE BETWEEN OTHER PLACES #8,7690,1,3843,6410,Signed and Dated,72,92,2016,Oil / Linen,209,2018/4/1,0
S Dwi Setyo,IMMIGRANTS FROM HEAVEN,12810,1,5760,8330,Signed and Dated,180,250,2017,Oil / Canvas,210,2018/4/1,0
Erica Hestu Wahyuni,PANEN MAS III (GOLDEN HARVEST III),NA,0,3843,6410,Signed and Dated,149.5,100,2002,Oil / Canvas,212,2018/4/1,0
Eko Nugroho,TOLERANSI ITU MAHAL (TOLERANCE IS EXPENSIVE),24020,1,15370,23060,Signed and Dated,150,100,2010,Acrylic / Canvas,213,2018/4/1,0
Walasse Ting,TWO LADIES WITH A CAT,51240,1,30740,48680,Artist's Seal,118.5,177.5,NA,Acrylic / Paper,215,2018/4/1,0
Walasse Ting,TELL ME WHAT I DID WRONG?,60850,1,38430,64050,Signed and Dated,71,97,1974,Acrylic / Canvas,216,2018/4/1,0
Marina Cruz,FLOWER GARDEN,48040,1,15370,23060,Signed and Dated,168,114.5,2016,Oil / Canvas,218,2018/4/1,0
Gede Mahendra Yasa,RED & GOLD COMPOSITION,9610,1,7690,10250,Signed and Dated,183,265,2010,Acrylic / Canvas,219,2018/4/1,0
Raduan Man,TRUE LOVE,9610,1,5120,7690,Signed and Dated,152.5,213.5,2017,Oil on jute,220,2018/4/1,0
Pacita Abad,SPRING IS COMING,NA,0,11530,19220,Signed and Dated,230,180,2007,Oil and batik and printed fabric / Canvas,221,2018/4/1,0
Rafiee Ghani,SEA OF HEROES,27220,1,8970,11530,Signed and Dated,154,213.5,2017,Oil / Canvas,222,2018/4/1,0
Suzlee Ibrahim,WALL SERIES; MASTERPIECE II,30420,1,8970,11530,Signed and Dated,152,236.5,Sep-08,Oil and acrylic / Canvas,223,2018/4/1,0
Natee Utarit,DHA-LA III,14410,1,11530,19220,NA,140,100,2008,Oil / Canvas,225,2018/4/1,0
Arin Dwihartanto Sunaryo,180155 - KARAT SERIES,41630,1,17930,35870,Signed and Dated,180,154.5,2015,Resin and volcanic ash and various mineral pigment mounted on Plexiglas panel,226,2018/4/1,0
AY T Joe Christine,STUDY OF FIRST NOVEMBER DOLL,384300,1,44840,70460,Signed and Dated,150,125,2010,Oil / Canvas,228,2018/4/1,0
Somboon Homtientong,UNTITLED,3522,1,3843,6410,Signed and Dated,75,99.5,Mar-02,Oil / Canvas,229,2018/4/1,0
Somboon Homtientong,UNTITLED,3522,1,3843,6410,Signed and Dated,70.5,100.5,2000,Oil / Paper,230,2018/4/1,0
Agus Triyanto,ADVENTURE IN THE LAND OF OPERA,35230,1,6410,8970,Signed and Dated,195,300,2017,Oil / Canvas,236,2018/4/1,0
Leslie Chavez,ECLIPSE,56040,1,25620,38430,Signed and Dated,195,195,2008,Oil / Canvas,237,2018/4/1,0
Ismail Alwi,THE STAGE (RISE UP),4803,1,3843,6410,Signed and Dated,182,152,2017,Oil and acrylic / Canvas,238,2018/4/1,0
Thaweesak Srithongdee,SOLDIER,NA,0,2562,5120,Signed and Dated,110,80,2007,Acrylic / Cloth,239,2018/4/1,0
Oky Rey Montha,THE GREAT,22420,1,10250,19220,Signed and Dated,300,200,2016,Acrylic and spray paint / Canvas,240,2018/4/1,0
Navin Rawanchaikul,LONG HEART,14410,1,12810,19220,Signed and Dated,170,280,2008,Acrylic / Canvas,241,2018/4/1,0
M Irfan,RED POSE,NA,0,19220,23060,Signed and Dated,180,230,2014,Acrylic / Canvas,243,2018/4/1,0
Mariam Sofrina,JALAN TAMBLONG,NA,0,3330,4483,Signed,89.5,129.5,NA,Acrylic / Canvas,244,2018/4/1,0
Inyoman Masriadi,NONTON DI KAMAR,83270,1,70460,96080,Signed and Dated,135,135,2005,Acrylic / Canvas,245,2018/4/1,0
Samsul Arifin,PILGRIMAGE #2,NA,0,23060,35870,Signed and Dated,150,300,2016,Acrylic / Canvas,246,2018/4/1,0
Chan Su Nyein,LANDSCAPE 7,4803,1,2562,3843,Signed,91,122,NA,Acrylic / Canvas,247,2018/4/1,0
Zaw Win Pe,RED SUNSET,NA,0,2562,3843,Signed and Dated,55.5,70,2002,Oil / Canvas,248,2018/4/1,0
Aung Myint,WHERE IS ORIGIN,NA,0,4483,6410,Signed and Dated,122,92,2013,Acrylic / Canvas,249,2018/4/1,0
Wae Aung Min,THE GOLDEN BUDDHA,10410,1,10250,19220,Signed and Dated,121.5,95,1997,Acrylic / Canvas,250,2018/4/1,0
Zaw Min,THE GOLDEN PAGODA,NA,0,2562,3843,Signed and Dated,121,91,2001,Oil / Canvas,251,2018/4/1,0
Gywe U Lun,FLOATING MARKET AT MANDALAY,15210,1,10890,19220,Signed and Dated,61,76.5,1999,Oil / Cloth,252,2018/4/1,0
Moat Thone,BUDDHA & BODHI TREE 2,4803,1,5120,7690,Signed and Dated,138.5,180,2005,Oil / Canvas,253,2018/4/1,0
MPP Yei Myint,MANDALAY HILL,NA,0,4099,6410,Signed and Dated,59.5,87.5,1974,Oil / Canvas,254,2018/4/1,0
San Minn,MEN ON THE ROAD,NA,0,5760,7690,Signed and Dated,63,81,1979,Oil / Canvas,255,2018/4/1,0
San Win,THE GREAT SHWEDAGON,51240,1,28180,44840,Signed and Dated,62,42.5,1960,Oil / Canvas on board,256,2018/4/1,0
San Win,SHWEDAGON,35230,1,17930,28180,Signed and Dated,40,50.5,1962,Oil / Canvas on board,257,2018/4/1,0
Ngwe Gaing,RACING BOATS,76860,1,44840,70460,Signed and Dated,40,73.5,1962,Oil / Board,258,2018/4/1,0
U Ba Nyan,THE VILLAGE,NA,0,20500,28180,Signed,17,24,c. 1930s,Oil / Paper,259,2018/4/1,0
U Ba Kyi,FORWARD,NA,0,25620,38430,Signed,38.5,66,c. 1960s,Oil / Board,262,2018/4/1,0
Vu Cao Dam,LE RENDEZ-VOUS (THE MEETING),28820,1,8970,11530,Signed and Dated,58.5,71.5,1982,Oil / Canvas,263,2018/4/1,0
Vu Cao Dam,LA COUPLE (THE COUPLE),35230,1,10250,19220,Signed and Dated,72,59,1979,Oil / Canvas,264,2018/4/1,0
Le Pho,LA MERE ET LA FILLE (MOTHER AND DAUGHTER),28820,1,23060,35870,Signed,50,50,NA,Oil and gouache on silk on panel,265,2018/4/1,0
Le Pho,TULIPES (TULIPS),30420,1,12810,19220,Signed,90.5,58.5,NA,Oil / Silk,266,2018/4/1,0
Le Pho,BOUQUET DE PRINTEMPS (SPRING BOUQUET),14410,1,8970,11530,Signed,44.5,26,NA,Oil on silk on board,267,2018/4/1,0
Le Pho,CHRYSANTHÈME (CHRYSANTHEMUM),56040,1,20500,28180,Signed,81,54,NA,Oil on silk mounted on board,268,2018/4/1,0
Le Pho,BOUQUET DE PRINTEMPS (SPRING BOUQUET),72060,1,23060,35870,Signed,129.5,96.5,NA,Oil / Canvas,269,2018/4/1,0
Le Pho,FLEURS (FLOWERS),25620,1,10250,15370,Signed,72,52.5,NA,Oil / Canvas,270,2018/4/1,0
Vu Cao Dam,LE RÊVE (THE DREAM),30420,1,8970,11530,Signed and Dated,71.5,58.5,1982,Oil / Canvas,271,2018/4/1,0
To Gnoc Van,ANGKOR,13610,1,10890,17930,Signed,53,62.5,1935,Oil / Canvas,278,2018/4/1,0
Van Ha Tran,FISHERMEN'S VILLAGE SCENE IN NORTH VIETNAM,10410,1,5760,8330,Signed,61,123.5,c. 1950s,Lacquer / Wood,281,2018/4/1,0
Tran Phuc Duyen,GOLDFISH OF ABUNDANCE,6410,1,5120,7690,Signed and Dated,43,55,1951,Lacquer / Wood,286,2018/4/1,0
Henri Mege,"SOIR SUR LA BAIE DE SANARY-SUR-MER, À BANDOL (EVENING ON THE BAY OF SANARY-SUR-MER, BANDOL)",3042,1,2562,3843,Signed and Dated,38.5,55,1960,Oil on wood panel,287,2018/4/1,0
Henri Mege,PAYSAGE DE SAVOIE (LANDSCAPE OF SAVOIE),2401,1,2562,3843,Signed,25,60.5,NA,Oil on wood panel,288,2018/4/1,0
Nguyen TriMinh,LITTLE STREET OF SAIGON,2401,1,1921,2562,Signed,39,29,c. 1960s,Oil / Board,289,2018/4/1,0
Joseph Inguimberty,"ON THE BANKS OF THE RED RIVER, NEAR HANOI",60850,1,30740,44840,Signed and Dated,47,99,1935,Oil / Canvas,290,2018/4/1,0
Le Pho,FLEURS (FLOWERS),64050,1,23060,35870,Signed,115,79.5,NA,Oil / Canvas,293,2018/4/1,0
Le Pho,MOTHER AND CHILD IN A GARDEN,152120,1,44840,70460,Signed,96.5,129.5,NA,Oil / Canvas,294,2018/4/1,0
Quang Bâo Nguyen,A VIETNAMESE LANDSCAPE,8010,1,5120,7690,Artist's Seal,48.5,69,NA,Lacquer / Wood,296,2018/4/1,0
Alix Ayme,PAYSAGE (LANDSCAPE) (6),120090,1,30740,40990,NA,100,150,NA,Lacquer / Wood,297,2018/4/1,0
U Van An,A FAMILY OF DEER,9610,1,10250,15370,Signed and Dated,98,98,1942,Lacquer / Wood,298,2018/4/1,0
Tran Phuc Duyen,DEER IN A FOREST,12010,1,5120,7690,Signed and Dated,43,55,1951,Lacquer / Wood,302,2018/4/1,0
Nguyen TriMinh,VIETNAMESE VILLAGE LIFE (2),5120,1,3074,4483,NA,NA,NA,c. 1960's,Oil / Board,303,2018/4/1,0
Quang Bâo Nguyen,LES PAYSANS (THE FARMERS),7210,1,5120,7690,Artist's Seal,49,69,NA,Lacquer / Wood,306,2018/4/1,0
Xuan Phai Bui,STREET SCENE,48040,1,8970,11530,Signed and Dated,61,75.5,1969,Oil / Canvas,307,2018/4/1,0
Ang Ah Tee,"PAGODA STREET, CHINATOWN",28820,1,12810,19220,Signed and Dated,80,80,2012,Acrylic / Canvas,308,2018/4/1,0
Tay Bak Koi,SINGAPORE FISHING VILLAGE,NA,0,12810,19220,Signed and Dated,59,84.5,1965,Oil / Canvas,309,2018/4/1,0
Tay Bak Koi,BUFFALOES ON MEANDERING RIVERS,48040,1,17930,32030,Signed,122,122,1998,Oil / Canvas,310,2018/4/1,0
Choh Tan,BOATS AND SHOPHOUSES,17610,1,12810,19220,Signed and Dated,50,65,1983,Oil / Canvas,311,2018/4/1,0
Choh Tan,FRUITS STALL,19220,1,12810,19220,Signed and Dated,60.5,72.5,2016,Oil / Canvas,312,2018/4/1,0
Liu Kang,FRENCH VILLAGE,80060,1,32030,44840,Signed and Dated,44,54,1929,Oil / Canvas on board,313,2018/4/1,0
Soo Pieng Cheong,KELONG (HOUSES ON STILTS),28820,1,30740,44840,Signed,75,60,NA,Oil / Canvas,322,2018/4/1,0
Fernando Cueto Amorsolo,MARKET,76860,1,35870,48680,Signed and Dated,40,49,1948,Oil / Canvas on board,323,2018/4/1,0
Fernando Cueto Amorsolo,LANDSCAPE,41630,1,25620,38430,Signed and Dated,30,40.5,1942,Oil / Board,324,2018/4/1,0
Ben (Benedicto) Reyes Cabrera,SHAPES AND SQUARES,64050,1,17930,32030,Signed and Dated,57,54.5,1970,Acrylic / Board,326,2018/4/1,0
Jose Tanig Joya,MOSS AND WHITE SAND,384300,1,128100,192150,Signed and Dated,61,122,1962,Oil / Board,328,2018/4/1,0
Romeo Villalva Tabuena,YOUNG MAN WITH ROOSTER,7690,1,3843,6410,Signed and Dated,70,36,1960,Oil / Board,329,2018/4/1,0
Jose Tanig Joya,LIGHTED LAMPS,NA,0,5120,7690,NA,48.5,70.5,NA,Oil / Board,330,2018/4/1,0
Wee Shoo Leong,MY WAY,8010,1,6410,8970,Signed and Dated,76,96.5,2015,Oil / Canvas,333,2018/4/1,0
Hernando Ruiz Ocampo,UNTITLED,13610,1,7690,10250,Signed and Dated,39.5,29.5,1977,Oil / Canvas,335,2018/4/1,0
Romeo Villalva Tabuena,LANDSCAPE WITH NIPA HUTS,NA,0,2562,3843,Signed and Dated,29.5,65.5,1995,Acrylic / Canvas,336,2018/4/1,0
Soo Pieng Cheong,FISHING VILLAGES,76860,1,30740,44840,Signed and Dated,39.5,49.5,1959,Oil / Masonite,339,2018/4/1,0
Fernando Zobel de Ayala Montojo,ESTUDIO EN AMARILLO (A STUDY IN YELLOW),NA,0,30740,44840,Signed and Dated,NA,NA,NA,Oil / Canvas,342,2018/4/1,0
Niti Wattuya,LANDSCAPE,1601,1,5120,7690,Signed and Dated,70,80,2005,Acrylic / Canvas,343,2018/4/1,0
Thomas Yeo,FOUR HUTS IN THE VALLEY,NA,0,2562,3843,Signed,60,60,NA,Acrylic and watercolor on paper mounted on card,345,2018/4/1,0
Charoon Boonsuan,PANGA BAY,1921,1,2562,5120,Signed and Dated,54.5,67.5,2015,Oil / Canvas,346,2018/4/1,0
Theo Meier,PORTRAIT OF A BALINESE LADY,56040,1,30740,44840,Signed and Dated,63,48,1949,Oil / Canvas,354,2018/4/1,0
Theo Meier,A BALINESE LADY,NA,0,15370,23060,Signed and Dated,71,61,1955,Oil / Canvas,355,2018/4/1,0
Arie Smit,"KETJAK DANCERS, BALI",67250,1,17930,28180,Signed and Dated,72,96.5,1957,Oil / Canvas,356,2018/4/1,0
Arie Smit,RED TEMPLE IN UBUD,48040,1,10250,19220,Signed and Dated,59.5,48,1973,Gouache and acrylic / Paper on board,357,2018/4/1,0
Arie Smit,YELLOW TEMPLE AND BOAT,35230,1,8970,11530,Signed and Dated,51,39.5,1973,Gouache and acrylic / Paper on board,358,2018/4/1,0
Arie Smit,PURA DI BALI (TEMPLE IN BALI),NA,0,23060,35870,Signed and Dated,71,53.5,2010,Acrylic / Canvas,359,2018/4/1,0
Arie Smit,BALI SCENE,4803,1,3843,6410,Signed and Dated,21.5,34.5,1997,Acrylic / Canvas,360,2018/4/1,0
Arie Smit,MANSION BY A SUNSET,35230,1,8970,11530,Signed and Dated,55,55,1972,Oil / Canvas,362,2018/4/1,0
Arie Smit,BLUE TERRACE,5600,1,4483,5760,Signed,21.5,28.5,NA,Oil / Canvas,363,2018/4/1,0
Romualdo Battista Federico Locatelli,YOUNG GIRL,NA,0,23060,32030,Signed and Dated,94.5,87.5,1938,Oil / Canvas on board,365,2018/4/1,0
Theo Meier,PORTRAIT OF A WOMAN (DOUBLE-SIDED),3843,1,5120,7690,Signed,NA,NA,NA,Oil / Canvas,366,2018/4/1,0
Adrien Jean Le Mayeur de Merpres,SOIRÉE D’AUTOMNE À BRUGES (AUTUMN EVENING IN BRUGES),160130,1,25620,38430,Signed,89.5,108.5,NA,Oil / Canvas,367,2018/4/1,0
Willem Dooyewaard,BALLERINA,1200,1,3843,6410,Signed,81.5,72.5,NA,Oil / Canvas,368,2018/4/1,0
Haji Widayat,FOREST FLOWERS,57650,1,15370,23060,Signed and Dated,49,51,1988,Oil / Canvas,369,2018/4/1,0
Haji Widayat,FLORA AND FAUNA,35230,1,28180,44840,Signed and Dated,97.5,183.5,1985,Oil / Canvas,370,2018/4/1,0
Popo Iskandar,MACAN DAN BULAN (THE LEOPARD AND THE MOON),NA,0,12810,19220,Signed and Dated,100,120,1993,Oil / Canvas,371,2018/4/1,0
Raden Basoeki Abdullah,PENARI JAIPONG (JAIPONG DANCERS),24020,1,19220,25620,Signed,120,100,NA,Oil / Canvas,373,2018/4/1,0
Dullah,PORTRAIT OF A BALINESE LADY,13610,1,3843,6410,Signed and Dated,102.5,68.5,1973,Oil / Canvas,374,2018/4/1,0
Zaini,FIGURE,2081,1,1281,2562,Signed and Dated,59,46,1961,Oil / Canvas,377,2018/4/1,0
Kusama Affandi,SELF-PORTRAIT,136110,1,102480,192150,Signed and Dated,92,92,1970,Oil / Canvas,379,2018/4/1,0
Kusama Affandi,BOATS AND SUNRISE,60850,1,51240,76860,Signed and Dated,63,97,1968,Oil / Canvas,380,2018/4/1,0
Kusama Affandi,FIGHTING DOGS,88070,1,57650,70460,Signed and Dated,89,109,1958,Oil / Canvas,381,2018/4/1,0
Mochtar Apin,PABRIK TEH (TEA FACTORY),35230,1,11530,19220,Signed,72,95.5,NA,Oil / Canvas,382,2018/4/1,0
Rusli,GIRLS WITH OFFERINGS,10410,1,5120,7690,Signed and Dated,65,84,1963,Oil / Canvas,383,2018/4/1,0
Shrihadi Soedarsono,TIGA PENARI JANGER (THREE JANGER DANCERS),48040,1,35870,61490,Signed and Dated,100.5,140.5,1994,Oil / Canvas,385,2018/4/1,0
Kusama Affandi,RESTING MAN,NA,0,89670,115290,Signed and Dated,99,140,1966,Oil / Canvas,386,2018/4/1,0
Manfong Lee,TIGERS,48040,1,33310,48680,Signed and Dated,106,52,1980,Oil / Masonite,387,2018/4/1,0
Manfong Lee,LANDSCAPE WITH TWO FIGURES,96080,1,61490,87110,Signed,61,81.5,NA,Oil / Masonite,388,2018/4/1,0
Shrihadi Soedarsono,TWO DANCERS,28820,1,23060,35870,Signed,73,91,NA,Oil / Canvas,389,2018/4/1,0
Manfong Lee,PORTRAIT OF A LADY,44840,1,44840,57650,Signed and Dated,76,58,1967,Oil / Canvas on board,390,2018/4/1,0
Manfong Lee,DOVES,51240,1,40990,70460,Signed,122,60,NA,Oil / Masonite,391,2018/4/1,0
Manfong Lee,PAIR OF DOVES,NA,0,30740,44840,Signed,122,60,NA,Oil / Masonite,392,2018/4/1,0
Manfong Lee,WEAVER,112090,1,76860,115290,Signed,102,60,NA,Oil / Masonite,393,2018/4/1,0
Leonard Tsuguharu Foujita,PORTRAIT DE YOUKI,272210,1,230580,358680,Signed and Dated,33,24,1928,Oil / Canvas,1006,2018/3/31,0
Leonard Tsuguharu Foujita,DEUX PETITS CHATS,568760,1,358680,486780,Signed and Dated,46,55.2,1930,Oil / Canvas,1007,2018/3/31,0
Leonard Tsuguharu Foujita,JEUNE FILLE DANS L’ATELIER DE L’ARTISTE,783970,1,486780,614880,Signed,35.9,27.6,c. 1951,Oil / Canvas,1008,2018/3/31,0
Leonard Tsuguharu Foujita,NATURE MORTE AUX ANÉMONES,630250,1,76860,128100,Signed,33,24,c. 1918,Oil / Canvas,1009,2018/3/31,0
Pablo Picasso,JUAN-LES-PINS,1014550,1,640500,1024800,Signed and Dated,22.2,35.7,1924,Oil / Canvas,1010,2018/3/31,0
Chang Yu Sanyu,NU ENDORMI,6005010,1,2562000,3843000,Signed,50,100,c. 1950's,Oil / Board,1011,2018/3/31,0
Chang Yu Sanyu,LÉOPARD ROSE,6294260,1,3843000,5124000,Signed,65,80,c. 1940's,Oil / Masonite,1012,2018/3/31,0
Marc (Moishe Shagal) Chagall,SOLEIL AU CHEVAL ROUGE,1860010,1,2049600,3074400,Signed and Dated,88.9,116.2,1977,Oil / Canvas,1013,2018/3/31,0
Liang Guan,GUAN LIANG'S COSTUMED SELF-PORTRAIT (SILANG VISITS HIS MOTHER),707110,1,256200,512400,Signed,73,61,c. 1950's,Oil / Canvas,1014,2018/3/31,0
Wenliang Yan,WINTER SUNSET,614880,1,512400,768600,Signed,68,105,1947,Oil / Canvas,1017,2018/3/31,0
Yuliang Pan,BAIGNEUSE,3546380,1,768600,1281000,Signed,50,65,c. 1958,Oil / Canvas,1019,2018/3/31,0
Gee Yun,STILL LIFE WITH HAT,553390,1,256200,512400,Signed and Dated,49.8,73.3,1930,Oil / Board,1020,2018/3/31,0
Walter Spies,BERGE UND TEICH (MOUNTAINS AND POND) (Estimate upon Request),3243490,1,NA,NA,Inscribed,71.5,59.5,1938,Oil / Canvas,1021,2018/3/31,0
Adrien Jean Le Mayeur de Merpres,RENANG AND NI POLLOK,304240,1,192150,320250,Signed Lower Left,73,90,NA,Oil / Canvas,1022,2018/3/31,0
Soo Pieng Cheong,BY THE SEASIDE,240190,1,192150,281820,Signed and Dated,102,81.5,1975,Oil / Canvas,1023,2018/3/31,0
Li Yuan-Chia,SENZA TITOLO,76860,1,44840,70460,NA,130,40,1963,Oil / Canvas,1026,2018/3/31,0
Chin Hsiao,LA FORZA DELLA MEDITZIONE,968440,1,102480,153720,Signed and Dated,160,130,1964,Acrylic / Canvas,1027,2018/3/31,0
Richard Lin,May-58,399670,1,76860,128100,Signed and Dated,91.4,71.1,1958,Oil / Canvas,1028,2018/3/31,0
Dayu Wu,UNTITLED 28,1552570,1,768600,1281000,NA,53,37.8,NA,Oil / Canvas,1029,2018/3/31,0
Walasse Ting,A LOTS OF SUNSHINE HERE,661000,1,115290,179340,Signed and Dated,177.8,228.6,1971,Acrylic / Canvas,1030,2018/3/31,0
Walasse Ting,WINDS SING SONG,208160,1,102480,153720,Signed and Dated,178.4,228.6,1972,Acrylic / Canvas,1031,2018/3/31,0
Wou-Ki Zao,SANS TITRE,1706290,1,1024800,1537200,Signed and Dated,54.5,64.5,1958,Oil / Canvas,1032,2018/3/31,0
Wou-Ki Zao,QUAND IL FAIT BEAU,5715760,1,1921500,3202500,Signed and Dated,73,92,1955,Oil / Canvas,1033,2018/3/31,0
Wou-Ki Zao,24.04.62,10922250,1,7686000,10248000,Signed and Dated,97.4,194.8,1962,Oil / Canvas,1034,2018/3/31,0
Teh-Chun Chu,ROUGE LOURD ET VERT LEGER,7885130,1,6405000,7686000,Signed and Dated,87,116,1959,Oil / Canvas,1035,2018/3/31,0
Teh-Chun Chu,ABSTRACTION NEIGE I,661000,1,409920,614880,Signed and Dated,50,65,1985,Acrylic on paper mounted on canvas,1036,2018/3/31,0
Teh-Chun Chu,L’OMBRE S’ÉCLAIRCIT II,1706290,1,896700,1281000,Signed and Dated,162,130,1988,Oil / Canvas,1039,2018/3/31,0
Wou-Ki Zao,08.10.84,4558760,1,3202500,4483500,Signed and Dated,200,162,1984,Oil / Canvas,1040,2018/3/31,0
Wou-Ki Zao,01.05.92,NA,0,896700,1281000,Signed and Dated,81.5,100,1992,Oil / Canvas,1041,2018/3/31,0
Fernando Zobel de Ayala Montojo,SAETA 47,352280,1,230580,358680,Signed and Dated,61,91.5,1957,Oil / Canvas,1042,2018/3/31,0
Hernando Ruiz Ocampo,TORSO,192150,1,153720,230580,Signed and Dated,101.5,76,1963,Oil / Canvas,1043,2018/3/31,0
Soo Pieng Cheong,NATURE,352280,1,179340,281820,Signed and Dated,80,100,1963,Oil / Canvas,1044,2018/3/31,0
Wenxi Chen,BOMBING,128100,1,102480,192150,Signed,79,99,1960,Oil / Canvas,1045,2018/3/31,0
Guanzhong Wu,BAMBOO FOREST OF THE LIJIANG RIVER,1321990,1,640500,1024800,Signed and Dated,35.5,54.2,1978,Oil / Board,1047,2018/3/31,0
Guanzhong Wu,A VILLAGE IN GUILIN,2321170,1,640500,1024800,Signed and Dated,29.5,39.4,1978,Oil / Board,1048,2018/3/31,0
Huaiqing Wang,YUHUCHUN VASE,1860010,1,1537200,3074400,Signed,213,122,1999,Oil / Canvas,1049,2018/3/31,0
Ming Ju,TAICHI SERIES (2),1060670,1,384300,640500,Signed and Dated,NA,NA,1991,Wood,1050,2018/3/31,0
Chi-Chun Liao,TAMKENG SCENERY,1245130,1,1024800,1537200,Signed and Dated,65.5,80.5,1960,Oil / Canvas,1052,2018/3/31,0
Hendra Gunawan,AKU DAN ISTRIKU (MY WIFE AND I),240190,1,102480,192150,Signed and Dated,146,69,1977,Oil / Canvas,1053,2018/3/31,0
Kusama Affandi,MARKET UNDER THE BANYAN TREE,507280,1,128100,192150,Signed and Dated,115,154,1970,Oil / Canvas,1054,2018/3/31,0
Shiryu Morita,KANZAN - HAN-SHAN (FOLDING SCREEN),224180,1,128100,256200,Signed and Dated,NA,NA,1969,"Aluminum flake pigment in PVA glue medium, lacquer on board",1055,2018/3/31,0
AY T Joe Christine,LEFT LAYER AND RIGHT LAYER,937690,1,256200,384300,Signed and Dated,180,200,2010,Oil / Canvas,1058,2018/3/31,0
Jonas Wood,YELLOW ORCHID WITH CUP AND BOOK,553390,1,153720,204960,Signed and Dated,86.3,66,2013,Oil and acrylic / Linen,1059,2018/3/31,0
Wei Liu,REVOLUTIONARY FAMILY SERIES: TRAVEL TIME (DIPTYCH),4558760,1,1921500,2562000,Signed and Dated,150,200,1993,Oil / Canvas,1060,2018/3/31,0
Chunya Zhou,PEACH BLOSSOM IN THE SPRING ONCE AGAIN (DIPTYCH),1552570,1,1281000,1921500,Signed and Dated,100,500,2013,Oil / Canvas,1062,2018/3/31,0
Hyong Keun Yun,UMBER-BLUE,176140,1,102480,153720,Signed and Dated,130.5,80,1979-1986-7,Oil / Linen,1064,2018/3/31,0
