,x,y,z,canvas,oil,acrylic,board,paper,lacquer,masonite,panel,ink,wood
437,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
438,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
439,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
440,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
441,"Synthetic pigment, volcanic ash and digital print on wooden panel",synthetic pigment volcanic ash and digital print on wooden panel,synthetic pigment volcanic ash  digital print wooden panel,0,0,0,0,0,0,0,1,0,1
442,Oil and acrylic / Canvas,oil and acrylic  canvas,oil  acrylic  canvas,1,1,1,0,0,0,0,0,0,0
443,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
444,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
445,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
446,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
447,Oil on jute,oil on jute,oil jute,0,1,0,0,0,0,0,0,0,0
448,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
449,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
450,Oil and acrylic / Canvas,oil and acrylic  canvas,oil  acrylic  canvas,1,1,1,0,0,0,0,0,0,0
451,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
452,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
453,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
454,Oil on wooden board,oil on wooden board,oil wooden board,0,1,0,1,0,0,0,0,0,1
455,Oil on wooden board,oil on wooden board,oil wooden board,0,1,0,1,0,0,0,0,0,1
456,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
457,Oil on silk mounted on board,oil on silk mounted on board,oil silk mounted board,0,1,0,1,0,0,0,0,0,0
458,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
459,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
460,Lacquer / Wood,lacquer  wood,lacquer  wood,0,0,0,0,0,1,0,0,0,1
461,Lacquer / Panel,lacquer  panel,lacquer  panel,0,0,0,0,0,1,0,1,0,0
462,Lacquer / Wood,lacquer  wood,lacquer  wood,0,0,0,0,0,1,0,0,0,1
463,Acrylic on newspaper,acrylic on newspaper,acrylic newspaper,0,0,1,0,0,0,0,0,0,0
464,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
465,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
466,Oil on silk laid on board,oil on silk laid on board,oil silk laid board,0,1,0,1,0,0,0,0,0,0
467,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
468,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
469,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
470,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
471,Oil on wooden board,oil on wooden board,oil wooden board,0,1,0,1,0,0,0,0,0,1
472,Lacquer on wood panel,lacquer on wood panel,lacquer wood panel,0,0,0,0,0,1,0,1,0,1
473,Oil / Silk,oil  silk,oil  silk,0,1,0,0,0,0,0,0,0,0
474,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
475,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
476,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
477,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
